Title,Link
buoyancy-sink or float,https://cosci.tw/run/?name=rfqJqv1522291246573
The refraction and reflection of light,https://cosci.tw/run/?name=iSdH8E1571884516748
Pendulum - Mechanical energy,https://cosci.tw/run/?name=4b7coe1621305720943
Ohm's Law: Series and Parallel Circuits,https://cosci.tw/run/?name=bSlNUK1526261821313
單擺-周期與力學能,https://cosci.tw/run/?name=Qnn3c51627438539460
Ticker-tape timer,https://cosci.tw/run/?name=VXIsFP1631921182999
施力與運動,https://cosci.tw/run/?name=2BhUw51675735869928
質心與動量守恆A-funB,https://cosci.tw/run/?name=ERIAEw1557111734068
Buoyancy-EXP,https://cosci.tw/run/?name=iVrzvH1623741503830
Coriolis force - retrieve Pikachu A,https://cosci.tw/run/?name=23dikg1553651245332
Free Fall A: Who Reaches the Ground First?,https://cosci.tw/run/?name=aQznAq1495591303922
The work-energy theorem-slingshot B,https://cosci.tw/run/?name=aU0W051634197008773
friction-Christmas gift fun,https://cosci.tw/run/?name=6JGCbx1512956058267
潮汐-地月日,https://cosci.tw/run/?name=vtXohS1668736238215
酸鹼中和-強酸強鹼(教學),https://cosci.tw/run/?name=EM0T6b1683596198802
circular motion and friction,https://cosci.tw/run/?name=ynGIbT1461565101396
projectile launcher-flat surface,https://cosci.tw/run/?name=6BTS751443059889198
Buoyancy-Archimedes' crown,https://cosci.tw/run/?name=DrtEMC1508381757772
non-elastic collision and projectile-Hfun,https://cosci.tw/run/?name=2WUKEr1483339623458
The work-energy theorem-Archer,https://cosci.tw/run/?name=PhzlN71632455566649
靜電場-電力線,https://cosci.tw/run/?name=biVmsK1530665336392
conservation of momentum-firework,https://cosci.tw/run/?name=ZRDJ351494387621513
Uniform Circular Motion – Pikachu’s mission,https://cosci.tw/run/?name=IJ6Gwb1626331637956
1D collision,https://cosci.tw/run/?name=trxBIp1466489722825
Buoyancy-giant waterlily,https://cosci.tw/run/?name=kL8xKS1642996524514
雙氧水實驗-反應速率,https://cosci.tw/run/?name=SUdssT1702968138588
光的反射遊戲,https://cosci.tw/run/?name=7A5Z5d1678257375588
Horizontal Projectile Motion: Airplane Bombing,https://cosci.tw/run/?name=yrgxC11462416167445
Thin convex lens set – microscopes and telescopes,https://cosci.tw/run/?name=AhCi931576724920734
Reflection-Image formation by mirror,https://cosci.tw/run/?name=XBpdPA1533533872207
Get wetter if you run?,https://cosci.tw/run/?name=nkmEBy1506645045034
Refraction-thin convex lens,https://cosci.tw/run/?name=NZR8s61534208656624
Exploration of Horizontal Projectile Motion,https://cosci.tw/run/?name=5HvAW21471230280549
Frictional and centripetal forces- Car rounding a curv,https://cosci.tw/run/?name=oDie2p1630036060549
雙星,https://cosci.tw/run/?name=yTcHCm1727112023336
質心與動量守恆A-探討,https://cosci.tw/run/?name=7zsftw1479866044375
bomber mission-fun,https://cosci.tw/run/?name=KAusTg1465025225265
Frictional and centripetal forces- Radius of rounding a curve,https://cosci.tw/run/?name=lrWm7F1633482367522
物品的顏色,https://cosci.tw/run/?name=1CW3ld1683252577531
resistance experiments,https://cosci.tw/run/?name=M8WAL41676427975041
Refraction-thin concave lens,https://cosci.tw/run/?name=PKsqhO1535007335504
完全彈性碰撞-二維,https://cosci.tw/run/?name=hykE3e1447137723276
Projectiles – A Game of Life and Death,https://cosci.tw/run/?name=erXG4d1488334662640
radioactive decay,https://cosci.tw/run/?name=ky29pA1642424677400
由不同角度觀察直線波前,https://cosci.tw/run/?name=uzqFLB1690515317753
Constant Velocity & Free Fall Fun,https://cosci.tw/run/?name=6vTPC71469431073040
Perfectly inelastic collision-bullet speed,https://cosci.tw/run/?name=3tJg4T1447212909081
Standing wave,https://cosci.tw/run/?name=G1vsd71480928021176
牛頓第二定律,https://cosci.tw/run/?name=bcucGk1695780985971
視重與實重,https://cosci.tw/run/?name=i2CNe11683181244753
Simple harmonic motion - Spring and uniform circular motion,https://cosci.tw/run/?name=q66rMD1450771460693
free fall-which will hit the ground first?,https://cosci.tw/run/?name=G1XFBR1490679952011
